Round		Edge-Cut		Swaps		Migrations
579		2141		540130		1511
580		2141		540934		1511
581		2141		541738		1511
582		2140		542541		1510
583		2140		543343		1510
584		2140		544145		1510
585		2140		544947		1510
586		2139		545748		1512
587		2139		546548		1512
588		2139		547348		1512
589		2139		548148		1512
590		2139		548948		1512
591		2139		549748		1512
592		2138		550549		1512
593		2138		551347		1512
594		2138		552145		1512
595		2138		552943		1512
596		2138		553741		1512
597		2138		554539		1512
598		2138		555337		1512
599		2138		556135		1512
600		2138		556933		1512
601		2138		557731		1512
602		2138		558529		1512
603		2138		559327		1512
604		2138		560125		1512
605		2138		560923		1512
606		2138		561721		1512
607		2138		562519		1512
608		2137		563316		1514
609		2137		564112		1514
610		2137		564908		1514
611		2137		565704		1514
612		2137		566500		1514
613		2137		567296		1514
614		2137		568092		1514
615		2137		568888		1514
616		2137		569684		1514
617		2136		570479		1514
618		2135		571274		1515
619		2135		572068		1515
620		2135		572862		1515
621		2135		573656		1515
622		2135		574450		1515
623		2134		575245		1515
624		2134		576037		1515
625		2133		576831		1514
626		2133		577623		1514
627		2132		578414		1515
628		2132		579204		1515
629		2132		579994		1515
630		2132		580784		1515
631		2132		581574		1515
632		2132		582364		1515
633		2132		583154		1515
634		2132		583944		1515
635		2131		584733		1515
636		2131		585521		1515
637		2131		586309		1515
638		2131		587097		1515
639		2131		587885		1515
640		2131		588673		1515
641		2130		589460		1515
642		2130		590246		1515
643		2129		591031		1514
644		2129		591815		1514
645		2129		592599		1514
646		2129		593383		1514
647		2129		594167		1514
648		2129		594951		1514
649		2129		595735		1514
650		2129		596519		1514
651		2129		597303		1514
652		2129		598087		1514
653		2128		598870		1516
654		2127		599651		1515
655		2127		600431		1515
656		2127		601211		1515
657		2127		601991		1515
658		2127		602771		1515
659		2127		603551		1515
660		2127		604331		1515
661		2127		605111		1515
662		2127		605891		1515
663		2126		606670		1517
664		2125		607447		1517
665		2125		608223		1517
666		2125		608999		1517
667		2125		609775		1517
668		2125		610551		1517
669		2125		611327		1517
670		2125		612103		1517
671		2125		612879		1517
672		2125		613655		1517
673		2125		614431		1517
674		2125		615207		1517
675		2125		615983		1517
676		2124		616758		1519
677		2124		617532		1519
678		2124		618306		1519
679		2124		619080		1519
680		2123		619853		1519
681		2123		620625		1519
682		2123		621397		1519
683		2123		622169		1519
684		2123		622941		1519
685		2123		623713		1519
686		2123		624485		1519
687		2123		625257		1519
688		2123		626029		1519
689		2123		626801		1519
690		2123		627573		1519
691		2123		628345		1519
692		2123		629117		1519
693		2123		629889		1519
694		2123		630661		1519
695		2123		631433		1519
696		2123		632205		1519
697		2123		632977		1519
698		2123		633749		1519
699		2123		634521		1519
700		2123		635293		1519
701		2123		636065		1519
702		2123		636837		1519
703		2123		637609		1519
704		2122		638382		1520
705		2122		639152		1520
706		2122		639922		1520
707		2121		640694		1521
708		2121		641464		1521
709		2121		642234		1521
710		2121		643004		1521
711		2121		643774		1521
712		2121		644544		1521
713		2121		645314		1521
714		2121		646084		1521
715		2121		646854		1521
716		2121		647624		1521
717		2121		648394		1521
718		2121		649164		1521
719		2121		649934		1521
720		2121		650704		1521
721		2121		651474		1521
722		2121		652244		1521
723		2121		653014		1521
724		2121		653784		1521
725		2121		654554		1521
726		2121		655324		1521
727		2121		656094		1521
728		2121		656864		1521
729		2121		657634		1521
730		2121		658404		1521
731		2121		659174		1521
732		2121		659944		1521
733		2121		660714		1521
734		2121		661484		1521
735		2121		662254		1521
736		2121		663024		1521
737		2121		663794		1521
738		2121		664564		1521
739		2121		665334		1521
740		2121		666104		1521
741		2121		666874		1521
742		2121		667644		1521
743		2121		668414		1521
744		2121		669184		1521
745		2121		669954		1521
746		2121		670724		1521
747		2121		671494		1521
748		2121		672264		1521
749		2121		673034		1521
750		2121		673804		1521
751		2120		674573		1519
752		2120		675341		1519
753		2120		676109		1519
754		2120		676877		1519
755		2120		677645		1519
756		2120		678413		1519
757		2120		679181		1519
758		2120		679949		1519
